topic_id	intent_name	Web	Image	News	Encyclopedia	QA	Shopping
IMINE2-E-001	cvs CVS pharmacy logo	0.0	1.0	0.0	0.0	0.0	0.0
IMINE2-E-001	cvs CVS pharmacy business units	0.470588235294	0.0	0.117647058824	0.352941176471	0.0588235294118	0.0
IMINE2-E-001	cvs CVS pharmacy locations	0.466666666667	0.0666666666667	0.0	0.0	0.266666666667	0.2
IMINE2-E-001	cvs CVS pharmacy advertisement	0.538461538462	0.230769230769	0.0769230769231	0.0	0.0	0.153846153846
IMINE2-E-001	cvs CVS pharmacy employment	0.666666666667	0.0	0.333333333333	0.0	0.0	0.0
IMINE2-E-001	cvs CVS pharmacy stock	0.4	0.0	0.4	0.05	0.1	0.05
IMINE2-E-002	bumblebee tuna	0.35	0.2	0.1	0.15	0.0	0.2
IMINE2-E-002	Bumblebee army	0.421052631579	0.210526315789	0.105263157895	0.210526315789	0.0526315789474	0.0
IMINE2-E-002	Bumblebee other language	0.466666666667	0.0	0.0	0.333333333333	0.2	0.0
IMINE2-E-002	bumblebee transformer	0.333333333333	0.238095238095	0.047619047619	0.285714285714	0.047619047619	0.047619047619
IMINE2-E-002	Bumblebee animals	0.259259259259	0.259259259259	0.037037037037	0.296296296296	0.148148148148	0.0
IMINE2-E-003	Tony Allen basic information	0.363636363636	0.0909090909091	0.181818181818	0.318181818182	0.0454545454545	0.0
IMINE2-E-003	Tony Allen basketball player	0.266666666667	0.233333333333	0.166666666667	0.266666666667	0.0333333333333	0.0333333333333
IMINE2-E-003	Tony Allen musician	0.275862068966	0.206896551724	0.172413793103	0.275862068966	0.0344827586207	0.0344827586207
IMINE2-E-004	wallpaper house	0.470588235294	0.294117647059	0.0	0.0	0.0588235294118	0.176470588235
IMINE2-E-004	wallpaper wallpaper magazine	0.421052631579	0.210526315789	0.105263157895	0.157894736842	0.0	0.105263157895
IMINE2-E-004	wallpaper designs	0.352941176471	0.529411764706	0.0	0.0	0.0	0.117647058824
IMINE2-E-004	wallpaper computer	0.368421052632	0.526315789474	0.0	0.0	0.0526315789474	0.0526315789474
IMINE2-E-005	Opera browser	0.444444444444	0.0	0.166666666667	0.277777777778	0.111111111111	0.0
IMINE2-E-005	Opera OPERA experiment	0.352941176471	0.0588235294118	0.0588235294118	0.470588235294	0.0588235294118	0.0
IMINE2-E-005	Opera opera comique	0.368421052632	0.105263157895	0.0526315789474	0.421052631579	0.0526315789474	0.0
